x,y,u
0,0,0
0,1,0.06279051952931337
0,2,0.12533323356430426
0,3,0.1873813145857246
0,4,0.2486898871648548
0,5,0.3090169943749474
0,6,0.3681245526846779
0,7,0.42577929156507266
0,8,0.4817536741017153
0,9,0.5358267949789967
0,10,0.5877852522924731
0,11,0.6374239897486896
0,12,0.6845471059286886
0,13,0.7289686274214116
0,14,0.7705132427757893
0,15,0.8090169943749473
0,16,0.8443279255020151
0,17,0.8763066800438637
0,18,0.9048270524660196
0,19,0.9297764858882513
0,20,0.9510565162951535
0,21,0.9685831611286311
0,22,0.9822872507286886
0,23,0.9921147013144778
0,24,0.9980267284282716
0,25,1
0,26,0.9980267284282716
0,27,0.9921147013144779
0,28,0.9822872507286887
0,29,0.9685831611286311
0,30,0.9510565162951536
0,31,0.9297764858882515
0,32,0.9048270524660195
0,33,0.8763066800438635
0,34,0.844327925502015
0,35,0.8090169943749475
0,36,0.7705132427757893
0,37,0.7289686274214114
0,38,0.6845471059286888
0,39,0.6374239897486899
0,40,0.5877852522924732
0,41,0.535826794978997
0,42,0.4817536741017152
0,43,0.4257792915650729
0,44,0.36812455268467814
0,45,0.3090169943749475
0,46,0.24868988716485524
0,47,0.18738131458572457
0,48,0.12533323356430454
0,49,0.06279051952931358
0,50,0.00000000000000012246467991473532
0,51,-0.06279051952931335
0,52,-0.12533323356430429
0,53,-0.18738131458572477
0,54,-0.24868988716485457
0,55,-0.3090169943749473
0,56,-0.3681245526846779
0,57,-0.42577929156507227
0,58,-0.4817536741017154
0,59,-0.5358267949789964
0,60,-0.5877852522924727
0,61,-0.6374239897486896
0,62,-0.6845471059286884
0,63,-0.7289686274214116
0,64,-0.7705132427757894
0,65,-0.8090169943749473
0,66,-0.8443279255020153
0,67,-0.8763066800438636
0,68,-0.9048270524660198
0,69,-0.9297764858882515
0,70,-0.9510565162951535
0,71,-0.9685831611286312
0,72,-0.9822872507286887
0,73,-0.9921147013144778
0,74,-0.9980267284282716
0,75,-1
0,76,-0.9980267284282716
0,77,-0.9921147013144779
0,78,-0.9822872507286887
0,79,-0.9685831611286311
0,80,-0.9510565162951536
0,81,-0.9297764858882516
0,82,-0.9048270524660199
0,83,-0.8763066800438634
0,84,-0.844327925502015
0,85,-0.8090169943749476
0,86,-0.7705132427757896
0,87,-0.7289686274214121
0,88,-0.684547105928689
0,89,-0.6374239897486896
0,90,-0.5877852522924734
0,91,-0.5358267949789971
0,92,-0.4817536741017161
0,93,-0.425779291565073
0,94,-0.36812455268467786
